canyon_id,road_id,width,avg_height,aspect_ratio,road_length,orientation_rad,lat,lon
128,29935,15.0,22.08333333333333,1.472222222222222,24.16461085521493,-0.6197740128782385,45.484618229504434,9.206198278032868
129,29936,15.0,18.0,1.2,12.991329962263896,2.510149572042696,45.484095150005174,9.207052699999998
130,29937,15.0,15.5625,1.0375,102.10616568835056,-0.6256406920587365,45.48388270031468,9.20747155
131,29938,15.0,16.27777777777778,1.0851851851851853,12.403539506571096,0.95124412195403,45.48410279698568,9.207132156047676
132,29939,15.0,16.27777777777778,1.0851851851851853,8.27980814994228,-2.1921732842553543,45.484049801646854,9.207078146726746
133,30900,15.0,14.0,0.9333333333333332,9.29830416388118,-0.6257811767541117,45.486790050002604,9.20692085
134,30901,15.0,12.55,0.8366666666666667,328.2173301817761,2.5282466210989605,45.48740158768856,9.20568097856855
135,30902,15.0,14.0,0.9333333333333332,11.738284476823186,0.9469258282707416,45.48683719817913,9.206917803627231
136,30903,15.0,14.0,0.9333333333333332,15.564931890217082,-2.1957122555463044,45.48676743787638,9.206846123996955
137,30904,15.0,14.0,0.9333333333333332,10.25493803288333,-0.5166027327503754,45.48671175000226,9.20684525
138,30905,15.0,14.0,0.9333333333333332,15.564931890217082,0.9458803980434888,45.48676743787638,9.206846123996955
139,30906,15.0,14.0,0.9333333333333332,11.241968050852542,-1.7008357475682163,45.48669975546453,9.20678436849936
140,34823,15.0,28.285714285714285,1.8857142857142857,49.73238954716964,-2.964996131544452,45.48531782323714,9.20873826841932
141,34824,15.0,25.166666666666668,1.6777777777777778,14.299381801984715,-1.557435539575473,45.485473061514995,9.209264817635447
142,34825,15.0,25.166666666666668,1.6777777777777778,40.76232465139287,-0.6087305536569032,45.48544420052694,9.209409400476364
143,41871,15.0,14.6,0.9733333333333332,10.743536084861166,-2.205178019124161,45.48361015000659,9.207927299999998
144,41872,15.0,16.11111111111111,1.074074074074074,11.584161334971157,0.9349296083027944,45.483666750007636,9.2079868
145,41873,15.0,15.25,1.0166666666666666,8.066798586420333,2.5269017914879326,45.48365209214446,9.207926342666124
146,41874,15.0,17.5,1.1666666666666667,123.50308015133176,0.9320955528044288,45.48465775222697,9.209036097384747
147,41875,15.0,17.88888888888889,1.1925925925925926,11.996066749314538,-0.6232757114134071,45.484323445934265,9.208749145826138
148,41876,15.0,17.5,1.1666666666666667,15.69430055549817,-2.2002683700231325,45.48430554535497,9.208663909120485
149,45630,15.0,16.625,1.1083333333333334,273.1822146604613,0.2480274913985441,45.48551792168363,9.21136346505897
150,45631,15.0,18.375,1.225,10.04958958595696,-0.5802681591362451,45.48525276671776,9.210299965646177
151,45632,15.0,17.5,1.1666666666666667,26.719678068339828,2.54458013082374,45.485317189581174,9.210162749376977
152,51378,15.0,12.2,0.8133333333333332,59.279613062097695,1.0131223234623683,45.48511895668711,9.20540688496131
153,51379,15.0,12.2,0.8133333333333332,59.12092580456348,0.8938393779059004,45.48509695136605,9.205450787888783
154,51380,15.0,12.25,0.8166666666666667,4.1382748244699865,-0.6179476084981734,45.4849743500005,9.20519765
155,51381,15.0,12.22222222222222,0.8148148148148148,62.15720306823122,0.9234763094718674,45.48514113172742,9.205344692317897
156,51382,15.0,12.285714285714286,0.8190476190476191,7.85729778558386,2.522905577123033,45.484996240189645,9.20515374004009
157,51383,15.0,12.22222222222222,0.8148148148148148,3.664958277837514,-0.630094026346368,45.485239587176,9.2056219861124
158,51388,15.0,18.95,1.2633333333333332,48.42885737550685,-0.0730875070994208,45.48461494250376,9.205258403602095
159,52898,15.0,16.75,1.1166666666666667,12.320510414957306,-3.003192983051377,45.48471182275687,9.205646071421942
160,52899,15.0,19.09090909090909,1.2727272727272727,101.6115889666778,0.9383718442371118,45.48478608694141,9.205976805149005
161,52900,15.0,14.85,0.99,60.57476060389198,1.2674277201935762,45.48487267134762,9.205745433120692
162,52901,15.0,16.071428571428573,1.0714285714285716,52.61809616880007,-2.2032208093526813,45.484858050158536,9.205835400000002
163,52902,15.0,12.0,0.8,19.71629998407224,-1.1042549872840608,45.48504911711541,9.205950288051987
164,52903,15.0,13.454545454545457,0.896969696969697,75.28676566672848,-0.113978453680554,45.48510636831261,9.206229675687393
165,53262,15.0,12.0,0.8,5.505965861522715,2.516212911713145,45.4850391500009,9.20581165
166,53263,15.0,14.85,0.99,48.00563381720166,-2.1946002675477043,45.484906315066105,9.205705720414546
167,53264,15.0,14.85,0.99,48.04475894362759,-2.1940209632705625,45.48492663175421,9.205665288586003
168,53265,15.0,12.0,0.8,5.514812926791615,2.5209103683371645,45.48505942226797,9.205771472654476
169,53266,15.0,14.85,0.99,48.05732243068156,-2.1943969753683272,45.4849466582809,9.205625233841287
170,53267,15.0,17.333333333333332,1.1555555555555554,19.334747129466702,0.8975394737422785,45.485094000020105,9.20658995
171,53268,15.0,17.333333333333332,1.1555555555555554,55.47984580982158,-2.2318950772005124,45.48490850811121,9.206382785434515
172,53269,15.0,12.22222222222222,0.8148148148148148,7.530477286708489,-0.6315282844988975,45.48519719415418,9.205704693901126
173,53302,15.0,27.125,1.8083333333333331,9.667441874939064,-1.715833332601184,45.48462840215977,9.205057494199119
174,53303,15.0,19.416666666666668,1.2944444444444445,11.491911929462578,0.2930373526904847,45.48466861447879,9.205111380306226
175,53304,15.0,15.38888888888889,1.025925925925926,12.49365848056421,2.177782396636218,45.484833361109104,9.205353166143901
176,53635,15.0,22.5,1.5,47.91640227159554,-2.208316317067501,45.48561985013048,9.208542
177,53636,15.0,24.2,1.6133333333333333,8.364673921242002,0.9582517911641288,45.48576257265835,9.208691855771272
178,53637,15.0,24.2,1.6133333333333333,11.412919147516572,-0.5985594278739892,45.485720843272674,9.208712443456841
179,53638,15.0,24.2,1.6133333333333333,10.50128926968006,2.542389892026227,45.485759779828655,9.208631178994253
180,53639,15.0,20.9,1.393333333333333,8.120900279985241,0.9043193123840468,45.48622290000359,9.20775125
181,53640,15.0,20.642857142857142,1.3761904761904762,12.260400889738806,-0.6221556492210194,45.486180294834774,9.207773444725389
182,53641,15.0,20.9,1.393333333333333,9.079030101215114,2.5199368718053163,45.48621945030075,9.207695550304809
183,53642,15.0,21.59090909090909,1.4393939393939392,113.73757142275834,-0.6083791559406883,45.48598890037192,9.208294100000002
184,53643,15.0,20.428571428571427,1.3619047619047615,12.340571834845145,0.936446123433219,45.486224908509364,9.207907733527584
185,53644,15.0,20.642857142857142,1.3761904761904762,5.669151085899613,-2.2031509666397944,45.4861792003354,9.207859849307999
186,53645,15.0,20.428571428571427,1.3619047619047615,13.829815465226606,2.5117897337075794,45.486281850005845,9.207890399999998
187,53646,15.0,20.96153846153846,1.3974358974358974,228.7375740804391,-0.6150800003315054,45.48584378576072,9.208782859604463
188,53647,15.0,19.1875,1.2791666666666666,13.34913065942457,0.9361280034302554,45.48629005451283,9.207976141367068
189,53648,15.0,20.428571428571427,1.3619047619047615,12.340571834845145,-2.2051465301565742,45.48622490850937,9.207907733527584
190,53649,15.0,19.1875,1.2791666666666666,13.655266497217562,2.518284794292196,45.486349000005596,9.207961899999999
191,53650,15.0,19.1875,1.2791666666666666,7.731177064307214,0.908627779503051,45.4863431086073,9.20803303430801
192,53651,15.0,19.1875,1.2791666666666666,13.34913065942457,-2.205464650159538,45.486290054512835,9.207976141367068
193,53652,6.0,16.1875,2.6979166666666665,212.4796544415934,0.939059210523486,45.486965352587845,9.208533300000001
194,53653,15.0,18.916666666666668,1.2611111111111113,8.259174825761505,2.5150272608073694,45.486440633475894,9.20793963289114
195,53654,15.0,17.928571428571427,1.1952380952380952,11.20321232915756,-0.6235602069109909,45.48640477739215,9.208010526875542
196,53655,6.0,16.27777777777778,2.7129629629629632,13.201262659745309,0.9331154694146612,45.48753870000989,9.209132199999999
197,53656,15.0,15.875,1.0583333333333331,12.954618894484096,-0.6674487699734954,45.487480047574515,9.20914259726756
198,53657,15.0,17.166666666666668,1.1444444444444446,8.628044188972178,2.472596890688161,45.48752214812935,9.209066497887799
199,53658,15.0,16.27777777777778,1.0851851851851853,12.738751367129389,2.5580956247789643,45.48755000000433,9.20921525
200,53659,15.0,15.764705882352942,1.0509803921568628,103.14464596997912,-0.6235400695714675,45.48733825031925,9.209639100000002
201,53660,15.0,16.714285714285715,1.1142857142857143,11.184861400028916,1.197948995209732,45.48756069732868,9.209281309786569
202,53661,15.0,15.666666666666666,1.0444444444444445,11.97052180205934,-1.9439345123049752,45.487492792503666,9.20924342729162
203,53662,15.0,17.272727272727273,1.1515151515151516,80.60487348568965,2.5291966649679405,45.48778310018895,9.20881555
204,53663,15.0,15.5,1.0333333333333334,6.557168076789342,0.9218158148539892,45.48765363570153,9.209129626927924
205,53664,15.0,15.666666666666666,1.0444444444444445,8.955782773762785,-2.217865817588167,45.48761469620798,9.209087557133143
